Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:14:36 b.mx.h2.net sm-mta[10533]: jB88EbW9010533: from=<u13@h2.net>, size=2727, class=-60, nrcpts=1, msgid=<u4910@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:36 b.mx.h2.net sm-mta[10541]: jB88EbW9010533: to=<u4914@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230727, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eb2p006340 Message accepted for delivery) 
Jan  5 00:14:36 b.mx.h2.net sm-mta[10542]: jB88EbY5010542: from=<u13@h2.net>, size=1269, class=-60, nrcpts=1, msgid=<u4917@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:36 b.mx.h2.net sm-mta[10547]: jB88EbY5010542: to=<u4923@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229269, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EbUN006352 Message accepted for delivery) 
Jan  5 00:14:36 d.mx.h2.net sm-mta[15418]: jB88EbYM015418: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u4925@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:36 d.mx.h2.net sm-mta[15423]: jB88EbYM015418: to=<u4928@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EbeU006364 Message accepted for delivery) 
Jan  5 00:14:36 c.mx.h2.net sm-mta[11231]: jB88Eb15011231: from=<u13@h2.net>, size=2816, class=-60, nrcpts=1, msgid=<u4929@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 c.mx.h2.net sm-mta[11244]: jB88Eb15011231: to=<u4935@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230816, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EbCT006376 Message accepted for delivery) 
Jan  5 00:14:37 c.mx.h2.net sm-mta[11239]: jB88EbnS011239: from=<u13@h2.net>, size=3897, class=-60, nrcpts=1, msgid=<u4932@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 c.mx.h2.net sm-mta[11247]: jB88EbnS011239: to=<u4938@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231897, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ebgh014109 Message accepted for delivery) 
Jan  5 00:14:37 b.mx.h2.net sm-mta[10551]: jB88EbW0010551: from=<u13@h2.net>, size=1503, class=-60, nrcpts=1, msgid=<u4937@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 b.mx.h2.net sm-mta[10556]: jB88EbW0010551: to=<u4939@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229503, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ebme006388 Message accepted for delivery) 
Jan  5 00:14:37 b.mx.h2.net sm-mta[10557]: jB88Ebpt010557: from=<u13@h2.net>, size=1275, class=-60, nrcpts=1, msgid=<u4941@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 b.mx.h2.net sm-mta[10562]: jB88Ebpt010557: to=<u4947@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229275, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EcEi014121 Message accepted for delivery) 
Jan  5 00:14:37 a.mx.h2.net sm-mta[14335]: jB88Ecp4014335: from=<u13@h2.net>, size=4969, class=-60, nrcpts=1, msgid=<u4946@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 a.mx.h2.net sm-mta[14343]: jB88Ecp4014335: to=<u4948@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232969, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ect2006400 Message accepted for delivery) 
Jan  5 00:14:37 c.mx.h2.net sm-mta[11253]: jB88EcNv011253: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u4949@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 c.mx.h2.net sm-mta[11258]: jB88EcNv011253: to=<u4951@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ec0d006412 Message accepted for delivery) 
Jan  5 00:14:37 d.mx.h2.net sm-mta[15430]: jB88Ect9015430: from=<u13@h2.net>, size=1586, class=-60, nrcpts=1, msgid=<u4959@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:37 d.mx.h2.net sm-mta[15435]: jB88Ect9015430: to=<u4962@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229586, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EcQJ006424 Message accepted for delivery) 
Jan  5 00:14:37 d.mx.h2.net sm-mta[15440]: jB88Ecas015440: from=<u13@h2.net>, size=1269, class=-60, nrcpts=1, msgid=<u4967@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 d.mx.h2.net sm-mta[15445]: jB88Ecas015440: to=<u4974@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229269, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ecmx014133 Message accepted for delivery) 
Jan  5 00:14:38 a.mx.h2.net sm-mta[14354]: jB88EcrR014354: from=<u13@h2.net>, size=1892, class=-60, nrcpts=1, msgid=<u4981@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 a.mx.h2.net sm-mta[14361]: jB88EcrR014354: to=<u4983@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229892, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EcdG006437 Message accepted for delivery) 
Jan  5 00:14:38 d.mx.h2.net sm-mta[15460]: jB88EcnS015460: from=<u13@h2.net>, size=1352, class=-60, nrcpts=1, msgid=<u4984@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 d.mx.h2.net sm-mta[15467]: jB88EcnS015460: to=<u4985@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229352, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ed4D014152 Message accepted for delivery) 
Jan  5 00:14:38 d.mx.h2.net sm-mta[15472]: jB88Edsi015472: from=<u13@h2.net>, size=1654, class=-60, nrcpts=1, msgid=<u5005@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 d.mx.h2.net sm-mta[15486]: jB88Edsi015472: to=<u5010@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229654, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EdVh006463 Message accepted for delivery) 
Jan  5 00:14:38 c.mx.h2.net sm-mta[11273]: jB88EddQ011273: from=<u13@h2.net>, size=2120, class=-60, nrcpts=1, msgid=<u5013@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 c.mx.h2.net sm-mta[11289]: jB88EddQ011273: to=<u5015@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230120, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EdAV014178 Message accepted for delivery) 
Jan  5 00:14:38 b.mx.h2.net sm-mta[10578]: jB88EdhH010578: from=<u13@h2.net>, size=2881, class=-60, nrcpts=1, msgid=<u5016@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:38 b.mx.h2.net sm-mta[10586]: jB88EdhH010578: to=<u5020@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230881, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EdTW014190 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11303]: jB88Ed8O011303: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u5028@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11312]: jB88Ed8O011303: to=<u5039@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EdVG014214 Message accepted for delivery) 
Jan  5 00:14:39 d.mx.h2.net sm-mta[15499]: jB88Edh7015499: from=<u13@h2.net>, size=3974, class=-60, nrcpts=1, msgid=<u5031@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 d.mx.h2.net sm-mta[15504]: jB88Edh7015499: to=<u5036@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231974, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ed8U014215 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11313]: jB88EdOR011313: from=<u13@h2.net>, size=2508, class=-60, nrcpts=1, msgid=<u5034@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11325]: jB88EdOR011313: to=<u5045@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=230508, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EecZ014238 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11307]: jB88EdA8011307: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u5037@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11327]: jB88EdA8011307: to=<u5042@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ee9D006475 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11328]: jB88Eevf011328: from=<u13@h2.net>, size=1266, class=-60, nrcpts=1, msgid=<u5046@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11341]: jB88Eevf011328: to=<u5051@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229266, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ee8C006488 Message accepted for delivery) 
Jan  5 00:14:39 d.mx.h2.net sm-mta[15507]: jB88Eef2015507: from=<u13@h2.net>, size=3115, class=-60, nrcpts=1, msgid=<u5052@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 d.mx.h2.net sm-mta[15514]: jB88Eef2015507: to=<u5056@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231115, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eej3006511 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11349]: jB88Eemi011349: from=<u13@h2.net>, size=5123, class=-60, nrcpts=1, msgid=<u5065@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11359]: jB88Eemi011349: to=<u5074@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=233123, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ee3D014263 Message accepted for delivery) 
Jan  5 00:14:39 b.mx.h2.net sm-mta[10602]: jB88EeBL010602: from=<u13@h2.net>, size=1963, class=-60, nrcpts=1, msgid=<u5066@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 b.mx.h2.net sm-mta[10609]: jB88EeBL010602: to=<u5078@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229963, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EeXa014265 Message accepted for delivery) 
Jan  5 00:14:39 d.mx.h2.net sm-mta[15522]: jB88EeSF015522: from=<u13@h2.net>, size=1957, class=-60, nrcpts=1, msgid=<u5084@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 d.mx.h2.net sm-mta[15532]: jB88EeSF015522: to=<u5089@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229957, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EeO4014296 Message accepted for delivery) 
Jan  5 00:14:39 a.mx.h2.net sm-mta[14390]: jB88EeiK014390: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u5085@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 a.mx.h2.net sm-mta[14398]: jB88EeiK014390: to=<u5092@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eek9006536 Message accepted for delivery) 
Jan  5 00:14:39 c.mx.h2.net sm-mta[11361]: jB88EeYc011361: from=<u13@h2.net>, size=1571, class=-60, nrcpts=1, msgid=<u5087@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:39 c.mx.h2.net sm-mta[11366]: jB88EeYc011361: to=<u5088@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229571, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EejM006537 Message accepted for delivery) 
Jan  5 00:14:39 d.mx.h2.net sm-mta[15533]: jB88EeP0015533: from=<u13@h2.net>, size=1963, class=-60, nrcpts=1, msgid=<u5090@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 d.mx.h2.net sm-mta[15540]: jB88EeP0015533: to=<u5093@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229963, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EeYi014308 Message accepted for delivery) 
Jan  5 00:14:40 c.mx.h2.net sm-mta[11367]: jB88EeW3011367: from=<u13@h2.net>, size=2277, class=-60, nrcpts=1, msgid=<u5096@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 c.mx.h2.net sm-mta[11378]: jB88EeW3011367: to=<u5101@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230277, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfTL006562 Message accepted for delivery) 
Jan  5 00:14:40 a.mx.h2.net sm-mta[14399]: jB88Efwx014399: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u5107@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 a.mx.h2.net sm-mta[14408]: jB88Efwx014399: to=<u5113@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfRL014326 Message accepted for delivery) 
Jan  5 00:14:40 d.mx.h2.net sm-mta[15551]: jB88EfEc015551: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u5108@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 d.mx.h2.net sm-mta[15558]: jB88EfEc015551: to=<u5114@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EftC014324 Message accepted for delivery) 
Jan  5 00:14:40 a.mx.h2.net sm-mta[14402]: jB88EfFU014402: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u5109@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 a.mx.h2.net sm-mta[14410]: jB88EfFU014402: to=<u5117@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfPk014327 Message accepted for delivery) 
Jan  5 00:14:40 b.mx.h2.net sm-mta[10625]: jB88Ef3V010625: from=<u13@h2.net>, size=1586, class=-60, nrcpts=1, msgid=<u5125@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 b.mx.h2.net sm-mta[10642]: jB88Ef3V010625: to=<u5133@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229586, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfdG006606 Message accepted for delivery) 
Jan  5 00:14:40 d.mx.h2.net sm-mta[15568]: jB88Ef1O015568: from=<u13@h2.net>, size=10286, class=-60, nrcpts=1, msgid=<u5128@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 d.mx.h2.net sm-mta[15577]: jB88Ef1O015568: to=<u2869@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=238286, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfPC014378 Message accepted for delivery) 
Jan  5 00:14:40 a.mx.h2.net sm-mta[14414]: jB88Efva014414: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u5129@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 a.mx.h2.net sm-mta[14419]: jB88Efva014414: to=<u5137@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ef7b014372 Message accepted for delivery) 
Jan  5 00:14:40 d.mx.h2.net sm-mta[15565]: jB88Efrm015565: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u5130@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 d.mx.h2.net sm-mta[15575]: jB88Efrm015565: to=<u5143@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfqT014377 Message accepted for delivery) 
Jan  5 00:14:40 c.mx.h2.net sm-mta[11392]: jB88EfHg011392: from=<u13@h2.net>, size=1966, class=-60, nrcpts=1, msgid=<u5131@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 c.mx.h2.net sm-mta[11398]: jB88EfHg011392: to=<u5138@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229966, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Efj7014373 Message accepted for delivery) 
Jan  5 00:14:40 b.mx.h2.net sm-mta[10637]: jB88Ef57010637: from=<u13@h2.net>, size=1808, class=-60, nrcpts=1, msgid=<u5132@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:40 b.mx.h2.net sm-mta[10651]: jB88Ef57010637: to=<u5142@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229808, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EfSi014379 Message accepted for delivery) 
Jan  5 00:14:41 b.mx.h2.net sm-mta[10656]: jB88Egfr010656: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u5166@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 b.mx.h2.net sm-mta[10673]: jB88Egfr010656: to=<u5184@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgF2006633 Message accepted for delivery) 
Jan  5 00:14:41 d.mx.h2.net sm-mta[15579]: jB88EgLc015579: from=<u13@h2.net>, size=10049, class=-60, nrcpts=1, msgid=<u5169@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 d.mx.h2.net sm-mta[15586]: jB88EgLc015579: to=<u5189@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=238049, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eget006647 Message accepted for delivery) 
Jan  5 00:14:41 b.mx.h2.net sm-mta[10659]: jB88EgJY010659: from=<u13@h2.net>, size=1352, class=-60, nrcpts=1, msgid=<u5175@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 b.mx.h2.net sm-mta[10681]: jB88EgJY010659: to=<u5197@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229352, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eg0S014432 Message accepted for delivery) 
Jan  5 00:14:41 b.mx.h2.net sm-mta[10660]: jB88EgNW010660: from=<u13@h2.net>, size=1583, class=-60, nrcpts=1, msgid=<u5180@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 b.mx.h2.net sm-mta[10683]: jB88EgNW010660: to=<u5203@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229583, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Egtt014433 Message accepted for delivery) 
Jan  5 00:14:41 a.mx.h2.net sm-mta[14432]: jB88EgQj014432: from=<u13@h2.net>, size=1580, class=-60, nrcpts=1, msgid=<u5182@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 a.mx.h2.net sm-mta[14440]: jB88EgQj014432: to=<u5193@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229580, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgI7006653 Message accepted for delivery) 
Jan  5 00:14:41 b.mx.h2.net sm-mta[10665]: jB88Egxg010665: from=<u13@h2.net>, size=1337, class=-60, nrcpts=1, msgid=<u5185@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 b.mx.h2.net sm-mta[10685]: jB88Egxg010665: to=<u5205@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229337, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgIJ014435 Message accepted for delivery) 
Jan  5 00:14:41 b.mx.h2.net sm-mta[10675]: jB88Eg1J010675: from=<u13@h2.net>, size=1583, class=-60, nrcpts=1, msgid=<u5200@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 b.mx.h2.net sm-mta[10691]: jB88Eg1J010675: to=<u5213@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229583, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Egcc014464 Message accepted for delivery) 
Jan  5 00:14:41 a.mx.h2.net sm-mta[14450]: jB88EgaH014450: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u5216@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 a.mx.h2.net sm-mta[14461]: jB88EgaH014450: to=<u5223@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgKw006696 Message accepted for delivery) 
Jan  5 00:14:41 c.mx.h2.net sm-mta[11428]: jB88Egp1011428: from=<u13@h2.net>, size=1275, class=-60, nrcpts=1, msgid=<u5217@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 c.mx.h2.net sm-mta[11433]: jB88Egp1011428: to=<u5226@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229275, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Eg7J014483 Message accepted for delivery) 
Jan  5 00:14:41 a.mx.h2.net sm-mta[14453]: jB88EgHV014453: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u5219@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:41 a.mx.h2.net sm-mta[14468]: jB88EgHV014453: to=<u5233@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgSh014493 Message accepted for delivery) 
Jan  5 00:14:42 a.mx.h2.net sm-mta[14465]: jB88EgL6014465: from=<u13@h2.net>, size=1352, class=-60, nrcpts=1, msgid=<u5236@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:42 a.mx.h2.net sm-mta[14486]: jB88EgL6014465: to=<u5246@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229352, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgRp006724 Message accepted for delivery) 
Jan  5 00:14:42 b.mx.h2.net sm-mta[10706]: jB88EgPb010706: from=<u13@h2.net>, size=1509, class=-60, nrcpts=1, msgid=<u5239@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:14:42 b.mx.h2.net sm-mta[10714]: jB88EgPb010706: to=<u5250@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229509, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88EgRq006725 Message accepted for delivery) 
